,HourlyPresentWeatherType_destairport,WeatherType_destairport
2,BL,22.090012207750625
3,BR,11.428533564867411
4,DU,10.512535605939323
5,DZ,11.88272863397462
6,FG,13.503947642664489
7,FU,8.25206047430497
8,FZ,14.59576995375037
9,HZ,11.764886605776336
10,NORM,11.491365416568115
11,PL,21.909112912115074
12,RA,14.028972562157731
13,SH,30.151483155037408
14,SN,14.964463379830852
15,TS,13.46493175031749
