,HourlyPresentWeatherType_originairport,WeatherType_originairport
2,BL,26.650013782944253
3,BR,13.335201099206836
4,DU,10.6500388428429
5,DZ,12.276194114516333
6,FG,14.03526583939512
7,FU,8.89135172339164
8,FZ,45.876695151418126
9,HZ,11.007757216165562
10,NORM,11.542000418457755
11,PL,20.191285648340013
12,RA,13.446839510720736
13,SH,23.926934032596712
14,SN,15.054561584533872
15,TS,33.42303193777989
